naam,jaarverbruik,waterstofverbruik,elektriciteitsverbruik,opp.zon,opp.wind,cap.zon,cap.wind,cap.hulpbron,cap.opslag,zondirect,winddirect,bijgedraaid,uit.opslag,onbenut,eff.verlies,hulptijd.lf0,hulptijd.lf90,max.laadvermogen,avg.max.laadvermogen,max.ontlaadvermogen.e,hulpcentrales,waterstoffabrieken,waterstofcentrales,periode
"S1. zon wind, geen opslag",706.139,0,100,3.723,51.417,50.005,50.001,100,0,27.079,40.133,32.787,0,32.792,0,57.549,9.54,0,0,0,27,0,0,2019
"S2. overcapaciteit zon wind, geen opslag",706.139,0,100,7.446,102.835,100.01,100.002,100,0,30.111,50.648,19.24,0,119.249,0,34.148,5.386,0,0,0,27,0,0,2019
S3. zon wind en elektrisch wagenpark,706.139,0,100,3.723,51.417,50.005,50.001,100,0.7,27.079,40.133,17.958,14.828,12.197,5.767,28.817,6.058,345.187,155.901,80.609,27,1559,27,2019
S4. zon wind en 2x wagenpark,706.139,0,100,3.723,51.417,50.005,50.001,100,1.4,27.079,40.133,15.024,17.762,8.122,6.908,24.07,5.002,345.187,158.535,80.609,27,1585,27,2019
"S5. 2x zon en wind, wagenpark",706.139,0,100,7.446,102.835,100.01,100.002,100,0.7,30.111,50.648,4.603,14.637,98.919,5.692,7.04,1.748,611.411,220.383,80.609,27,2204,27,2019
S6. Alleen windenergie,706.139,0,100,0,102.835,0,100.002,100,0,0,60.577,39.422,0,39.423,0,60.483,15.419,0,0,0,27,0,0,2019
S7. Alleen zonne-energie,706.139,0,100,7.446,0,100.01,0,100,0,37.872,0,62.126,0,62.136,0,70.987,53.255,0,0,0,27,0,0,2019
"S8. Zon, wind en waterstof",706.139,25,75,3.723,51.417,50.005,50.001,100,50,26.973,39.878,17.735,15.419,0,22.169,29.313,5.811,359.181,164.228,60.457,27,1642,20,2019
S9. Veel zon en wind met waterstof,706.139,25,75,7.446,51.417,100.01,50.001,0,150,33.204,37.295,0,29.502,26.037,31.183,0,0,654.786,306.706,60.457,0,3067,20,2019
S10. Waterstof lange termijn,706.139,25,75,7.702,52.398,100,50.403,0,150,33.134,37.013,0,29.853,17.437,33.316,0,0,749.708,329.827,60.457,0,3298,20,2001::2019
S11. kernenergie,706.139,25,75,0,0,0,0,100,0,0,0,99.998,0,0,25,100,100,0,0,0,27,0,0,2019
S12. Basisscenario beperkt kernenergie,706.139,25,75,3.762,52.518,50,50,100,0,27.016,39.46,33.524,0,30.634,11.27,60.581,10.046,0,0,0,27,0,0,2015::2019
S13. Extra wind en zon,706.139,25,75,25,158,332.289,150.426,100,0,36.464,49.989,13.546,0,391.336,8.309,23.701,5.005,0,0,0,27,0,0,2015::2019
"S14. Extra wind, zon en beperkte opslag",706.139,25,75,25,158,332.289,150.426,100,0.7,36.464,49.989,1.9,11.647,374.364,10.734,2.717,1.037,1319.495,369.609,60.457,27,3696,20,2015::2019
S15. Alleen zon,706.139,25,75,7.524,0,100,0,100,0,37.836,0,62.164,0,60.257,17.448,71.573,53.275,0,0,0,27,0,0,2015::2019
"S16. Zon, ruimte geminimaliseerd",706.139,25,75,14.329,0,190.455,0,0,350,42.608,0,0,57.392,27.8,67.678,0,0,1396.15,736.641,60.457,0,7366,20,2015::2019
"S17. Zon, opslag geminimaliseerd",706.139,25,75,85,0,1129.782,0,0,30,49.028,0,0,50.972,966.823,62.988,0,0,3771.711,1441.153,60.457,0,14412,20,2015::2019
S18. Besparen: minder opslag,353.069,25,75,7.702,52.398,200,100.806,0,15,35.146,46.623,0,18.231,177.992,22.82,0,0,686.344,193.127,30.229,0,1931,10,2001::2019
S19. Besparen: minder ruimtegebruik,353.069,25,75,3.851,20.959,100,40.323,0,150,33.968,32.203,0,33.829,3.858,37,0,0,412.761,183.183,30.229,0,1832,10,2001::2019
S20. Besparen: 25% minder,529.604,25,75,7.702,52.398,133.333,67.204,0,60,34.178,41.458,0,24.365,72.248,28.338,0,0,688.631,247.188,45.343,0,2472,15,2001::2019
